Affix,Type_x,Origin,Type_y,TotalFrequency
afro,prefix,Unspecified,prefix,2647152
anglo,prefix,Unspecified,prefix,3591523
euro,prefix,Unspecified,prefix,225990569
franco,prefix,Unspecified,prefix,6772175
indo,prefix,Unspecified,prefix,44708427
hell,prefix,Greek,prefix,68575016
abac,prefix,Greek,prefix,2161425
abil,prefix,Unspecified,prefix,61479902
able,suffix,Unspecified,suffix,1610344601
ably,suffix,Unspecified,suffix,116003340
abol,prefix,Unspecified,prefix,4306889
academ,prefix,Greek,prefix,97453390
acantho,prefix,Greek,prefix,30775
acaro,prefix,Greek,prefix,14921
aceae,suffix,Unspecified,suffix,3383050
aceous,suffix,Unspecified,suffix,1649281
ace,suffix,Unspecified,suffix,897217691
acerb,prefix,"Latin, Greek",prefix,154285
acet,prefix,Latin,prefix,8544831
acid,prefix,Latin,prefix,42923409
actino,prefix,Greek,prefix,442769
acious,suffix,Unspecified,suffix,10385193
acity,suffix,Unspecified,suffix,52661760
acoust,prefix,Unspecified,prefix,15257400
acryl,prefix,Latin,prefix,7426096
acti,prefix,Unspecified,prefix,584253214
acu,prefix,Latin,prefix,23874829
acy,suffix,Unspecified,suffix,495921483
ac,prefix,Greek,prefix,2966320343
ac,prefix,Greek,prefix,2966320343
adeno,prefix,Unspecified,prefix,3574460
ado,suffix,Unspecified,suffix,73961741
ade,suffix,Unspecified,suffix,630851527
aden,prefix,Greek,prefix,5322796
adipo,prefix,Latin,prefix,739282
adrena,prefix,Unspecified,prefix,3793974
ae,suffix,Unspecified,suffix,70808308
aeri,prefix,Greek,prefix,7728910
aesth,prefix,Greek,prefix,5628296
aether,prefix,Greek,prefix,243748
aev,prefix,Latin,prefix,95923
affect,prefix,Unspecified,prefix,71086380
after,prefix,Unspecified,prefix,411467423
age,suffix,Unspecified,suffix,3169786208
agon,prefix,Unspecified,prefix,3969260
agap,prefix,Greek,prefix,548884
agree,prefix,Unspecified,prefix,216494919
agra,suffix,Unspecified,suffix,29374932
agri,prefix,Latin,prefix,59430441
agi,prefix,Latin,prefix,21753090
ailur,prefix,Greek,prefix,0
aire,suffix,French,suffix,37637890
eal,suffix,Unspecified,suffix,514701800
cial,suffix,Unspecified,suffix,842189239
ital,suffix,Unspecified,suffix,365156793
al,suffix,Unspecified,suffix,10376195685
alacr,prefix,Latin,prefix,333086
alb,prefix,Latin,prefix,189488356
alcyon,prefix,Greek,prefix,60527
ale,prefix,Greek,prefix,133731519
algo,prefix,Greek,prefix,30037682
ali,prefix,Latin,prefix,128328779
alkyl,prefix,Unspecified,prefix,892893
allel,prefix,Greek,prefix,2819960
alpha,prefix,Greek,prefix,54248327
alphit,prefix,Greek,prefix,0
alter,prefix,Unspecified,prefix,117729629
alti,prefix,Latin,prefix,7833317
amat,prefix,Latin,prefix,57913744
amath,prefix,Greek,prefix,35244
ambi,prefix,Latin,prefix,28965360
ambl,prefix,Unspecified,prefix,1161032
ambul,prefix,Latin,prefix,6475308
ami,prefix,Greek,prefix,36937590
amm,prefix,Greek,prefix,10884786
amni,prefix,Greek,prefix,499317
amphi,prefix,Greek,prefix,3882305
ampl,prefix,Latin,prefix,32285011
amygdal,prefix,Greek,prefix,450564
